campaign_type,roi
Email,6.29
Email,5.61
Influencer,7.18
Display,5.55
Email,6.50
Display,4.36
Email,2.86
Search,5.55
Social Media,6.73
Email,3.78
Display,3.49
Influencer,3.59
Social Media,4.91
Email,7.06
Display,5.28
Social Media,2.91
Display,4.53
Influencer,4.48
Social Media,6.08
Influencer,3.83
Search,7.99
Influencer,6.21
Social Media,2.12
Email,7.31
Social Media,6.03
Search,6.23
Email,6.03
Email,3.29
Influencer,7.12
Social Media,3.61
Search,2.77
Influencer,6.83
Display,4.42
Influencer,2.71
Influencer,7.81
Display,2.51
Display,7.24
Influencer,2.62
Search,2.21
Search,6.97
Social Media,4.57
Search,3.44
Display,5.60
Display,4.77
Email,3.31
Display,6.80
Search,7.40
Social Media,3.80
Display,5.25
Social Media,3.98
Search,5.79
Search,6.48
Email,7.62
Display,3.35
Social Media,6.15
Display,3.70
Email,6.66
Email,2.70
Email,4.93
Display,6.80
Email,2.27
Email,5.32
Influencer,7.04
Search,3.71
Display,7.43
Search,7.28
Display,6.33
Search,2.72
Display,7.98
Email,4.74
Search,5.58
Social Media,5.61
Social Media,7.46
Influencer,5.63
Display,6.67
Search,2.03
Display,3.23
Search,4.82
Display,7.74
Influencer,6.57
Influencer,7.62
Social Media,6.33
Influencer,3.74
Search,3.99
Influencer,2.30
Social Media,7.38
Email,2.22
Search,7.89
Display,4.41
Display,2.01
Influencer,6.98
Email,7.00
Display,2.57
Display,7.19
Search,4.93
Social Media,4.61
Email,3.69
Search,7.96
Search,3.12
Display,5.58
Search,4.86
Search,4.54
Influencer,6.87
Social Media,7.17
Influencer,2.17
Social Media,3.35
Influencer,6.50
Email,7.32
Search,4.79
Social Media,6.40
Influencer,5.39
Email,7.58
Display,2.01
Email,4.04
Email,2.72
Social Media,3.70
Email,7.86
Social Media,4.98
Display,3.71
Display,7.65
Email,7.58
Search,6.78
Influencer,7.61
Display,3.70
Email,6.08
Email,5.50
Social Media,6.15
Email,6.68
Email,4.32
Display,3.16
Email,6.63
Influencer,6.65
Social Media,7.54
Search,2.41
Display,6.46
Email,3.56
Social Media,4.90
Influencer,6.17
Email,3.77
Email,4.61
Email,3.43
Influencer,3.48
Display,3.80
Search,2.41
Social Media,5.86
Search,4.72
Influencer,5.13
Influencer,2.83
Display,2.94
Search,2.15
Search,2.98
Influencer,5.67
Display,2.66
Influencer,7.41
Social Media,4.41
Influencer,3.31
Display,4.74
Display,7.24
Display,4.23
Social Media,5.74
Search,6.55
Social Media,5.28
Email,3.09
Influencer,7.65
Email,3.17
Email,5.94
Search,7.24
Display,8.00
Influencer,4.36
Search,5.41
Social Media,4.62
Influencer,6.10
Influencer,3.76
Display,6.90
Search,5.29
Social Media,2.22
Display,6.06
Social Media,3.84
Display,4.91
Display,6.29
Display,4.29
Influencer,2.58
Influencer,3.20
Social Media,3.97
Influencer,7.27
Email,2.57
Email,6.28
Influencer,7.80
Social Media,6.21
Influencer,5.46
Social Media,2.46
Influencer,5.64
Social Media,4.70
Email,4.28
Email,3.62
Display,7.31
Influencer,3.72
Display,4.37
Influencer,4.79
Influencer,2.63
Search,4.22
Influencer,5.83
Display,7.27
Influencer,7.51
Influencer,7.49
Email,3.69
Social Media,6.29
Display,2.87
Display,3.66
Display,2.81
Search,7.94
Social Media,2.39
Social Media,2.72
Display,7.67
Influencer,2.79
Social Media,4.39
Search,6.06
Email,5.85
Search,3.91
Influencer,8.00
Email,6.73
Email,2.98
Search,5.36
Display,7.76
Email,6.80
Influencer,2.83
Email,6.93
Influencer,5.39
Search,6.46
Search,5.38
Email,5.08
Email,2.89
Email,4.26
Search,5.61
Display,7.47
Search,4.79
Search,5.12
Display,3.13
Social Media,5.99
Email,5.75
Display,4.24
Search,5.66
Influencer,3.02
Influencer,5.23
Influencer,2.05
Display,3.49
Social Media,6.53
Social Media,3.26
Social Media,3.42
Display,5.25
Display,2.15
Display,5.33
Search,4.24
Influencer,4.55
Social Media,5.55
Influencer,2.27
Display,6.92
Display,7.63
Social Media,7.64
Search,2.56
Display,5.69
Email,3.35
Search,6.44
Social Media,3.16
Social Media,3.29
Display,7.10
Social Media,4.52
Search,7.66
Email,3.77
Social Media,3.54
Display,3.39
Search,4.65
Search,7.62
Social Media,7.25
Influencer,7.56
Influencer,3.05
Email,5.20
Email,5.48
Email,7.56
Display,6.62
Search,3.90
Display,6.21
Email,3.01
Email,7.68
Search,6.92
Email,6.03
Influencer,7.08
Email,5.28
Search,4.47
Search,5.88
Display,2.27
Search,4.30
Email,2.25
Social Media,4.53
Display,2.09
Influencer,5.09
Display,7.20
Display,5.67
Display,3.71
Social Media,7.99
Social Media,6.05
Display,6.46
Email,6.35
Email,6.82
Search,2.94
Display,4.71
Display,6.02
Email,7.55
Display,5.40
Display,5.59
Search,3.00
Social Media,2.34
Influencer,7.90
Display,4.02
Email,5.54
Social Media,3.89
Social Media,4.10
Social Media,2.69
Influencer,4.24
Email,7.45
Search,2.46
Display,3.20
Email,7.02
Email,3.15
Display,3.11
Influencer,2.51
Email,6.12
Influencer,5.22
Display,5.32
Influencer,6.40
Search,5.92
Influencer,2.28
Display,5.27
